0,"2,00"
1,"2,15"
2,"4,05"
3,"6,65"
4,"5,05"
5,"3,90"
6,"4,20"
7,"19,00"
8,"7,00"
9,"4,20"
10,"1,60"
11,"3,10"
12,"2,90"
13,"3,95"
14,"1,55"
15,"0,85"
16,"1,30"
17,"2,25"
18,"1,10"
19,"1,10"
20,"0,35"
21,"1,25"
22,"1,40"
23,"1,70"
24,"1,40"
25,"0,80"
26,"0,50"
27,"1,35"
28,"0,70"
29,"0,10"
30,"0,10"
31,"0,10"
32,"0,10"
33,"0,50"
34,"0,10"
35,"0,10"
36,"0,50"
37,"0,70"
38,"0,10"
39,"0,10"
40,"0,05"
41,"0,10"
42,"1,10"
43,"0,20"
44,"0,20"
45,"0,05"
46,"0,10"
47,"0,20"
48,"0,10"
49,"0,05"
50,"0,05"
51,"0,10"
52,"0,20"
53,"0,05"
54,"0,05"
55,"0,20"
56,"0,20"
57,"0,30"
58,"0,05"
59,"0,05"
60,"0,10"
61,"0,05"
62,"0,05"
63,"0,20"
64,"0,60"
65,"0,00"
66,"0,20"
67,"0,10"
68,"0,00"
69,"1,40"
70,"0,10"
71,"0,05"
72,"0,30"
73,"0,30"
74,"0,20"
75,"0,05"
76,"0,10"
77,"0,20"
78,"0,10"
79,"0,05"
80,"0,00"
81,"0,05"
82,"0,20"
83,"0,20"
84,"0,20"
85,"0,05"
86,"0,05"
87,"0,20"
88,"0,30"
89,"0,20"
90,"0,05"
91,"0,10"
92,"0,05"
93,"0,20"
94,"0,05"
95,"0,05"
96,"0,10"
97,"0,20"
98,"0,10"
99,"0,25"
